,bbva_volumes_momentum_5d,bbva_volumes_momentum_3d,bbva_cds_returns_2d,bbva_cds_returns_1d,bbva_returns_1d,bbva_cds_momentum_1d,bbva_momentum_3d,bbva_rsi_14d,bbva_momentum_10d,bbva_returns_10d,bbva_results_1d
2002-09-27,-0.4421813995885988,-0.09581717848006477,2.703768317981869,-0.0015745288054176407,-0.8409021115905034,-0.0004986350437972627,2.1306648504097025,0.5623862040747495,-2.484942337930295,-2.351697519431008,-1.0
2002-09-30,-0.08558583047839145,-0.041590640651003874,-1.0338218845339835,-1.5140466275535387,-3.2501819634036804,-0.4034763538780485,0.00948796703937628,0.43384928618090896,-3.290793535118547,-3.242828202958247,1.0
2002-10-01,0.01637343706009096,0.13931864951842227,-1.1864038727472268,-0.22539519485629364,0.13233339351265033,-0.05806688059154742,-2.0809704096476573,-0.043235547669098234,-2.8177503114239735,-2.8107415270104346,1.0
2002-10-02,0.05338664543446305,0.2376110649348251,-0.15532839604577328,-0.0015745288054176407,2.4551219650172715,-0.0004986350437972627,-0.3594540976047597,-0.2695939079790778,-1.5738691129580138,-1.5516252413196132,-1.0
2002-10-03,-0.11908647878751548,-0.2879068016298668,1.0374191728664424,1.5242317331360251,-0.8107953175354476,0.4024790837904539,0.9009646297441178,0.03033821059388495,-1.2935809730896408,-1.3079557417544752,-1.0
2002-10-04,2.0459840131669447,1.889944492562067,1.4642823430248169,0.6245858730626724,-1.983606672114588,0.17220610159945324,-0.17482307306038328,-0.13834861343560814,-1.3811140291318151,-1.4523483294599404,-1.0
2002-10-07,-0.25726592499621953,-0.3455316895566775,1.7736523922187408,1.978042902315468,-0.9254557108874438,0.5751838204337044,-1.8963393851032808,-0.06958767867563835,-0.8203553888616468,-0.8947468835001462,-1.0
2002-10-08,0.6219867957267745,0.8643813395182625,2.9537374035492325,2.355638249071258,-0.4971333052845222,0.747888557076955,-1.7120283450035212,0.08958986670516005,-0.20725927549959666,-0.22853243625796454,-1.0
2002-10-09,-0.05470704673549614,-1.817695425168684,1.6042017736563396,-0.0015745288054176407,-0.3094569710556818,-0.0004986350437972627,-0.8512701889820723,0.285187781994346,-0.5400672489932737,-0.6036350717374716,1.0
2002-10-10,0.25592997834272496,0.21420171444867106,-0.0027464078325310434,-0.0015745288054176407,2.262031767083424,-0.0004986350437972627,0.7163336051997387,0.3571593483422917,-1.1358391116803106,-1.1909421278279009,1.0
2002-10-11,-1.9079954772319487,-0.5853785497992314,1.1368896361793728,1.6701437481241552,3.082128091023149,0.5751838204337044,2.561043928420427,0.7788188557768324,0.03801564195190789,0.048846686089549465,-1.0
2002-10-14,-0.1627725641855315,-0.4512624957713555,-0.3602197553556858,-2.1976661192236717,-0.6814335939352102,-0.7488858271645495,2.3456943971927577,1.1442731294777408,0.7913470055148558,0.8606440288971446,1.0
2002-10-15,-0.5576844914256939,0.06834467707118343,-2.113021358234469,-0.9010196428200736,4.38151217907345,-0.2883398627825481,3.667870122352844,1.6451561912888524,2.1404502317648406,2.2035050456601173,1.0
2002-10-16,-0.17050544116155536,-0.11774314956300508,-1.7791452078838017,-1.7079072477797401,0.27288927299047466,-0.5186128449735489,2.2228203704595866,1.1442731294777395,1.509665146660935,1.5138576197653884,1.0
2002-10-17,-0.08896350653482922,0.2864161576447865,-1.165979649016922,-0.0015745288054176407,3.0585239954259618,-0.0004986350437972627,4.436472758324408,1.2598769059697408,2.806248539285616,2.7366722691372694,-1.0
2002-10-18,1.4661610444197062,1.3947426323146404,-0.0027464078325310434,-0.0015745288054176407,-0.9343825588475528,-0.0004986350437972627,1.4234992278047178,1.799461355622518,3.0513410962036973,3.068256848336857,1.0
2002-10-21,-0.01742405064090214,-0.3014883659829515,-0.6854386410083474,-1.0030074772581756,0.2104573343570586,-0.2883398627825481,1.3931007055660447,1.8120999139323333,3.3843314302307967,3.4272375888212925,1.0
2002-10-22,-0.3627054797389463,-0.1994832129405404,-0.6854386410083474,-0.0015745288054176407,0.3084023494675165,-0.0004986350437972627,-0.2672985775548785,1.5709943107353392,3.6296063476823033,3.681809703333153,-1.0
2002-10-23,-0.23253399822624995,-1.7797385816847715,-0.4260371244067061,-0.6224945418830954,-1.555256091578607,-0.17320337168704775,-0.6359206577543977,1.2905252327761465,3.174069735196163,3.2881018463343703,1.0
2002-10-24,-0.2307132217281219,0.07773501172477715,-0.8602292208389546,-0.6384856436460251,2.215824876142396,-0.17320337168704775,0.5934595784665645,1.6491517518350485,3.3143049853970594,3.2734991582193453,-1.0
2002-10-25,-1.7825289178127188,0.005593897988315577,-0.4369385042647817,-0.0015745288054176407,-0.08818059585488543,-0.0004986350437972627,0.3477115250002167,1.9212415214848129,2.3682185380079113,2.2715916929038684,1.0
2002-10-28,0.11471032223342632,0.03825388318218753,-0.2241088168631439,-0.32628835910769105,1.4113946308481935,-0.08685100336542252,2.192101863776291,1.7599264443676248,3.0865366791539897,2.9329847713483157,-1.0
2002-10-29,-0.030512685740633125,-0.0036079275207052666,-0.2241088168631439,-0.0015745288054176407,-1.835755699722104,-0.0004986350437972627,-0.32873559092146404,1.0197798266040976,1.03662192296636,0.9681517797176048,-1.0
2002-10-30,0.013349442400403602,-0.02265943776063109,-0.5308493672843645,-0.7762423484615373,-0.2881983800806142,-0.20198749446092287,-0.4516096176546409,1.2607382399624651,0.844049199673579,0.7908321670770281,1.0
2002-11-01,0.06749691952175459,0.031541635237671964,-0.4287716359045653,0.1481620560558228,1.5301684273088496,0.037956952982099404,-0.39017260428805534,1.1066847613124553,0.3358103930287167,0.3078284584189502,1.0
2002-11-04,0.08380826971834214,0.11744499603629703,-0.312116457026453,-0.6051222828461026,2.6818101670364167,-0.15409071416519424,2.530325421737132,1.1410397581071543,1.6674070080702668,1.4506479267813592,1.0
2002-11-05,0.37400431876319257,0.3911169586838006,-2.5765872471641478,-3.1735626536329784,0.46324236886384,-0.7488858271645495,3.0221415131144496,0.6355595627738657,1.7724466753208752,1.5305351674909624,-1.0
2002-11-06,0.0425274975951681,-0.0280378953153173,-2.1651394665904267,-0.0015745288054176407,-0.03531766519215261,-0.0004986350437972627,2.0385093303598243,1.1844685459232551,1.6499003968618309,1.4219098938413497,-1.0
2002-11-07,0.199533390169998,0.09056548887058168,0.17380174593363673,0.2574018145279216,-3.215484224284445,0.057069610503952914,-1.8349023717366924,0.06584093640664528,0.984102089341056,0.8972307144385439,-1.0
2002-11-08,-0.023880533993970054,-0.3577470782696125,0.17380174593363673,-0.0015745288054176407,-0.3305457787516405,-0.0004986350437972627,-2.3577569542419177,0.22768626788329605,0.09053547557721374,0.09250536414121192,-1.0
2002-11-12,-0.06392179576390664,0.013295496053182254,-0.8121911872318665,-1.1889392484430157,-0.6779368121389361,-0.25955574000867304,-2.7574175255693487,0.6074639741043758,-0.11972621945742397,-0.09387432760832427,-1.0
2002-11-13,-0.3770871571597701,-0.1730459379341099,-0.8121911872318665,-0.0015745288054176407,-0.5373983296274629,-0.0004986350437972627,-0.9741442157152436,1.0244937179397826,-0.8203553888616468,-0.7097481772231217,1.0
2002-11-14,-0.08553818958833839,-0.08836346251869154,0.4517337949176424,0.6650969628802095,1.4396779863759899,0.14342197882557814,0.1326819782171643,1.1179665649082355,0.35349936477057003,0.3253817695326662,1.0
2002-11-15,-0.056044124370595784,0.09827296640053627,-0.09513126707918278,-0.8037642488988674,0.155115468579048,-0.17320337168704775,0.6552165762777726,0.6485488903334847,0.5110588656464826,0.4654815195312206,1.0
2002-11-18,-0.1397258206112312,-0.12551383616188844,-1.0192851444805116,-0.6905331399625179,1.4864772996640014,-0.1444192489131727,1.9460338258653265,0.4457371148430328,0.5110588656464826,0.4516738839730148,-1.0
2002-11-19,-0.1496179844790976,-0.04939988111931619,-0.4724200824836881,-0.0015745288054176407,-0.6038472742649973,-0.0004986350437972627,0.6548965918331559,0.5237620154725571,-0.7153157216110383,-0.5866870594059627,1.0
