,san_volumes_momentum_2d,san_volumes_momentum_1d,san_rsi_14d,san_returns_2d,san_cds_returns_1d,san_returns_3d,san_momentum_3d,san_cci_20d,san_cds_momentum_1d,san_cds_returns_5d,san_results_1d
2002-09-27,-0.13146529313455071,-0.014405813668823859,1.3937619166922592,1.8882395289872047,0.6068656322496941,1.4973296600237385,1.0877063419060375,-1.0986651327901205,0.42906676975626135,0.9876531278315772,-1.0
2002-09-30,0.1712551474081445,0.21376644314638849,1.3349024663273863,-1.9567488440297705,-0.2903181408593544,0.368347449938972,0.25918373630144725,-1.3745742419447071,-0.2079699948653202,0.2211966140683476,-1.0
2002-10-01,0.251656728503674,0.07922968106041951,1.6463208432157983,-2.55955489762936,2.182090856663069,-2.516915838131319,-1.830390345827916,-1.2202462249323025,1.61897484038249,0.9591097053352936,1.0
2002-10-02,0.2304691738245224,0.18909146614403244,1.6710167289976343,1.6304081448266403,0.43255167536598493,0.15754769875121372,0.11500744599471875,-0.7594865787246975,0.33801351911678396,1.2195636446707772,-1.0
2002-10-03,-0.4279112026450554,-0.6875185772543934,1.9658006442626463,1.687316377438712,2.4949283889685323,0.4624268221831861,0.33107545599117355,-0.6964493521412026,2.08096089067504,2.110543896663524,-1.0
2002-10-04,-0.5202895767216376,0.08150782610757007,1.993935249181496,-2.0416466735515004,0.7098348348203116,0.5809830579847344,0.40336002660817216,-0.8071074845172805,0.6320046420302248,2.150608624962166,-1.0
2002-10-07,0.479482820992781,0.4768140366204922,1.9658006442626463,-1.5372596452782976,-0.3146644762944798,-2.127419189672953,-1.5420377652144657,-0.8418915558623982,-0.28491167160495184,2.141135604972457,-1.0
2002-10-08,0.514846732259109,0.1226925550875802,2.1778793352994628,-0.8099807117856085,1.0756045999821593,-1.4607761590489758,-1.0376171746045573,-0.7644716714471964,0.9819380757609084,1.7106081255574233,-1.0
2002-10-09,-0.3858430471921217,-0.5721271899989725,2.2178940233926183,-0.8249223361987154,0.914291399347077,-1.132640418216922,-0.7854068792996013,-0.7884823947167524,0.8700534541264225,1.8980502992377444,1.0
2002-10-10,0.03061462474819005,0.6076981932178512,2.1826032272098423,1.1430399761059633,0.29027880122457617,0.7306036651565164,0.5113940316063996,-0.5267812014680099,0.2819032133721611,1.0402337432039015,1.0
2002-10-11,0.3759171906503058,-0.16998862320753488,2.1792724460476385,3.34938836113383,-2.507655819979336,2.2680082984786267,1.6282692178244438,-0.11036220217416122,-2.342849531999037,-0.21167348410094486,-1.0
2002-10-14,-0.20685007077210352,-0.07099120681345843,2.2979357296192235,0.9240310676456398,-0.9401161342651536,2.1605263395031478,1.5198423618989474,-0.02471786152844613,-0.8169516066145902,-0.4550331500490776,1.0
