,20d,40d,60d,80d,100d,200d
20d,1.0,0.9256912768128432,0.8621838603606603,0.813553701774547,0.7754018630720959,0.6443508338834634
40d,0.9256912768128432,1.0,0.9595327865616966,0.9145188684983943,0.8733016062517803,0.7278229227139352
60d,0.8621838603606603,0.9595327865616966,1.0,0.9740890765870308,0.9385665679217229,0.7902050588389966
80d,0.813553701774547,0.9145188684983943,0.9740890765870308,1.0,0.980817662256153,0.8440869393691897
100d,0.7754018630720959,0.8733016062517803,0.9385665679217229,0.980817662256153,1.0,0.8894356836912287
200d,0.6443508338834634,0.7278229227139352,0.7902050588389966,0.8440869393691897,0.8894356836912287,1.0
