,20d,40d,60d,80d,100d,200d
20d,1.0,0.762119414063667,0.6436580278873866,0.6966011930323136,0.6494428394593862,0.5712282223052639
40d,0.762119414063667,1.0,0.911386430207331,0.890635480524767,0.8887602516378543,0.7707175958765168
60d,0.6436580278873866,0.911386430207331,1.0,0.9609579351196637,0.945552614447615,0.8518560355104102
80d,0.6966011930323136,0.890635480524767,0.9609579351196637,1.0,0.973611033160902,0.8881902201827918
100d,0.6494428394593862,0.8887602516378543,0.945552614447615,0.973611033160902,1.0,0.9161960083462078
200d,0.5712282223052639,0.7707175958765168,0.8518560355104102,0.8881902201827918,0.9161960083462078,1.0
