,20d,40d,60d,80d,100d,200d
20d,1.0,0.779266868047018,0.6777721483521992,0.7274867748389342,0.6770203109076338,0.6283929009644493
40d,0.779266868047018,1.0,0.8995231473251978,0.871640104309484,0.8726891515465892,0.7687218157355801
60d,0.6777721483521992,0.8995231473251978,1.0,0.9569430401495157,0.9359439092396709,0.8499479653069221
80d,0.7274867748389342,0.871640104309484,0.9569430401495157,1.0,0.9708411847474993,0.8896915256881432
100d,0.6770203109076338,0.8726891515465892,0.9359439092396709,0.9708411847474993,1.0,0.9126847263730969
200d,0.6283929009644493,0.7687218157355801,0.8499479653069221,0.8896915256881432,0.9126847263730969,1.0
