,5d,10d,15d,20d,25d,50d,105d,250d
5d,1.0,0.998986146078249,0.9974412060544643,0.9957753523533508,0.9940424637227927,0.9852651041606957,0.9668439494450267,0.9038430082016047
10d,0.998986146078249,1.0,0.9993546300032471,0.9981272530744142,0.9966636260742118,0.9883695816857969,0.970093644608121,0.9073818729189003
15d,0.9974412060544643,0.9993546300032471,1.0,0.9995262833897743,0.9985145100436231,0.9910885579393844,0.9731705564914168,0.910898836633526
20d,0.9957753523533508,0.9981272530744142,0.9995262833897743,1.0,0.9996231849316966,0.9934426071586937,0.9760620313125299,0.9143509749831722
25d,0.9940424637227927,0.9966636260742118,0.9985145100436231,0.9996231849316966,1.0,0.9954390845193858,0.9787926172305239,0.9177685381007965
50d,0.9852651041606957,0.9883695816857969,0.9910885579393844,0.9934426071586937,0.9954390845193858,1.0,0.9898604834202249,0.9339033698799508
105d,0.9668439494450267,0.970093644608121,0.9731705564914168,0.9760620313125299,0.9787926172305239,0.9898604834202249,1.0,0.9639847341741948
250d,0.9038430082016047,0.9073818729189003,0.910898836633526,0.9143509749831722,0.9177685381007965,0.9339033698799508,0.9639847341741948,1.0
