,1d,2d,3d,4d,5d,10d,21d,50d
1d,1.0,0.5203423404811538,0.3987302945927461,0.32681750357422207,0.27173792039292666,0.19141337705492487,0.13319962298064425,0.09330987847714146
2d,0.5203423404811538,1.0,0.6295677327712329,0.5057561138021236,0.43977754280675535,0.2798047307769937,0.20302823013574683,0.12271726477587136
3d,0.3987302945927461,0.6295677327712329,1.0,0.6753304727519902,0.5637835723884459,0.34640402039038337,0.23794500589088705,0.16081363586039285
4d,0.32681750357422207,0.5057561138021236,0.6753304727519902,1.0,0.727993115483646,0.42292281167234824,0.27939720740819785,0.1855049950888227
5d,0.27173792039292666,0.43977754280675535,0.5637835723884459,0.727993115483646,1.0,0.4961279626998754,0.31659463241849034,0.20450415352064133
10d,0.19141337705492487,0.2798047307769937,0.34640402039038337,0.42292281167234824,0.4961279626998754,1.0,0.4863881157670486,0.2917605819648323
21d,0.13319962298064425,0.20302823013574683,0.23794500589088705,0.27939720740819785,0.31659463241849034,0.4863881157670486,1.0,0.4556565688060658
50d,0.09330987847714146,0.12271726477587136,0.16081363586039285,0.1855049950888227,0.20450415352064133,0.2917605819648323,0.4556565688060658,1.0
