,20d,40d,60d,80d,100d,200d
20d,1.0,0.910132040560727,0.8427340857284004,0.7978437443042198,0.7586018151807804,0.6082978364661686
40d,0.910132040560727,1.0,0.9484380420326238,0.9013739006157969,0.8602557998233111,0.6941210949805419
60d,0.8427340857284004,0.9484380420326238,1.0,0.9676051634931605,0.9292530294691029,0.7605724567015912
80d,0.7978437443042198,0.9013739006157969,0.9676051634931605,1.0,0.9753823691062748,0.8189964794518968
100d,0.7586018151807804,0.8602557998233111,0.9292530294691029,0.9753823691062748,1.0,0.8696098897691211
200d,0.6082978364661686,0.6941210949805419,0.7605724567015912,0.8189964794518968,0.8696098897691211,1.0
