,5d,10d,15d,20d,25d,50d,105d,250d
5d,1.0,0.9988256697896564,0.9969850885470171,0.9950157637828977,0.9929650706429782,0.981351736882477,0.9556084156899002,0.8814709731057985
10d,0.9988256697896564,1.0,0.9992410084296103,0.9977833773802286,0.9960530152236562,0.9852733973264115,0.9598642644669295,0.8855439232145274
15d,0.9969850885470171,0.9992410084296103,1.0,0.9994416458068238,0.998242115453121,0.9887237032614935,0.9639115267386236,0.8895983527543028
20d,0.9950157637828977,0.9977833773802286,0.9994416458068238,1.0,0.9995557913543802,0.9917079851290092,0.9677218738232201,0.8935875286918974
25d,0.9929650706429782,0.9960530152236562,0.998242115453121,0.9995557913543802,1.0,0.9942317295489403,0.9713174190422347,0.8975368180707511
50d,0.981351736882477,0.9852733973264115,0.9887237032614935,0.9917079851290092,0.9942317295489403,1.0,0.9861639173809936,0.9166384702482908
105d,0.9556084156899002,0.9598642644669295,0.9639115267386236,0.9677218738232201,0.9713174190422347,0.9861639173809936,1.0,0.9537562626262326
250d,0.8814709731057985,0.8855439232145274,0.8895983527543028,0.8935875286918974,0.8975368180707511,0.9166384702482908,0.9537562626262326,1.0
