,20d,40d,60d,80d,100d,200d
20d,1.0,0.9178838865534472,0.8520248312045282,0.8089874288931823,0.7722888502569576,0.6310893274539545
40d,0.9178838865534472,1.0,0.9525679814095533,0.9084388497135185,0.8697742669856313,0.7146795709231218
60d,0.8520248312045282,0.9525679814095533,1.0,0.9714563088503931,0.9357813863298635,0.7787035335181897
80d,0.8089874288931823,0.9084388497135185,0.9714563088503931,1.0,0.9785389299686962,0.835145843782201
100d,0.7722888502569576,0.8697742669856313,0.9357813863298635,0.9785389299686962,1.0,0.883125195160844
200d,0.6310893274539545,0.7146795709231218,0.7787035335181897,0.835145843782201,0.883125195160844,1.0
