,1d,2d,3d,4d,5d,10d,21d,50d
1d,1.0,0.7322169265468842,0.6092894986130392,0.5322467509052093,0.46388903238538043,0.35359946789834906,0.2455764566624525,0.11576004987253084
2d,0.7322169265468842,1.0,0.8410552611407923,0.7400051539248634,0.6599377317156885,0.4877980685904301,0.3460559249503755,0.1665187967455814
3d,0.6092894986130392,0.8410552611407923,1.0,0.8882188072370246,0.8017572854727499,0.5809463203870691,0.4209916359956185,0.2060517794007074
4d,0.5322467509052093,0.7400051539248634,0.8882188072370246,1.0,0.9128318356349864,0.6589905791868295,0.48096455478282274,0.24059184772262113
5d,0.46388903238538043,0.6599377317156885,0.8017572854727499,0.9128318356349864,1.0,0.7294817321080529,0.5343509962160204,0.2699498827852091
10d,0.35359946789834906,0.4877980685904301,0.5809463203870691,0.6589905791868295,0.7294817321080529,1.0,0.7419265956728431,0.3886068881331536
21d,0.2455764566624525,0.3460559249503755,0.4209916359956185,0.48096455478282274,0.5343509962160204,0.7419265956728431,1.0,0.6073448573359419
50d,0.11576004987253084,0.1665187967455814,0.2060517794007074,0.24059184772262113,0.2699498827852091,0.3886068881331536,0.6073448573359419,1.0
