,1d,2d,3d,4d,5d,10d,21d,50d
1d,1.0,0.7139648939404312,0.5753442502345166,0.48987510564423764,0.4419136563326071,0.30646694359485493,0.2153437978081514,0.13594421241875654
2d,0.7139648939404312,1.0,0.8200440953863273,0.701115708435406,0.6228720656501306,0.4332104402940858,0.3040956946224285,0.19167564479613278
3d,0.5753442502345166,0.8200440953863273,1.0,0.8666211874511311,0.7683405738188945,0.5328075454623389,0.3706571357689488,0.2334657300430612
4d,0.48987510564423764,0.701115708435406,0.8666211874511311,1.0,0.8941240594336723,0.6149812747705238,0.42696313277147596,0.2696977393300531
5d,0.4419136563326071,0.6228720656501306,0.7683405738188945,0.8941240594336723,1.0,0.6885731245685206,0.4732364096940485,0.3025619555429096
10d,0.30646694359485493,0.4332104402940858,0.5328075454623389,0.6149812747705238,0.6885731245685206,1.0,0.6748560445458294,0.44292974361000087
21d,0.2153437978081514,0.3040956946224285,0.3706571357689488,0.42696313277147596,0.4732364096940485,0.6748560445458294,1.0,0.6486411005958412
50d,0.13594421241875654,0.19167564479613278,0.2334657300430612,0.2696977393300531,0.3025619555429096,0.44292974361000087,0.6486411005958412,1.0
