,1d,2d,3d,4d,5d,10d,21d,50d
1d,1.0,0.7822656812317107,0.620057339191602,0.5162512766040781,0.43963117610838653,0.36029508075741323,0.2246916219471478,0.09573495513605092
2d,0.7822656812317107,1.0,0.8651971971080924,0.7332762205828199,0.6339105368844615,0.48336940088562225,0.3131821185560552,0.14371687654034987
3d,0.620057339191602,0.8651971971080924,1.0,0.9009586411426344,0.7900194648645439,0.565383932658799,0.3861275401497214,0.18005472744208154
4d,0.5162512766040781,0.7332762205828199,0.9009586411426344,1.0,0.9202050770701543,0.636475461939842,0.446825380942109,0.2099910148484238
5d,0.43963117610838653,0.6339105368844615,0.7900194648645439,0.9202050770701543,1.0,0.7032597159926431,0.5020613729937422,0.2352065631985072
10d,0.36029508075741323,0.48336940088562225,0.565383932658799,0.636475461939842,0.7032597159926431,1.0,0.7144235876426202,0.34354013961638846
21d,0.2246916219471478,0.3131821185560552,0.3861275401497214,0.446825380942109,0.5020613729937422,0.7144235876426202,1.0,0.5641450679638607
50d,0.09573495513605092,0.14371687654034987,0.18005472744208154,0.2099910148484238,0.2352065631985072,0.34354013961638846,0.5641450679638607,1.0
