,avg_correl
sgn_returns,0.3559760501690911
volumes_momentum,0.4746219627499021
momentum,0.5025582212327254
returns,0.504367177064757
cds_momentum,0.5110806132142809
cds_returns,0.5270340970722581
stochastic_oscillator,0.778594911311214
median_volumes,0.8279043715687956
driftless_volatility,0.8540324127336055
volatility,0.8609039139062492
sma,0.9728076503067775
