,1d,2d,3d,4d,5d,10d,21d,50d
1d,1.0,0.7709717279655165,0.626294215066771,0.5011331037579394,0.4152126444362575,0.2713399948224333,0.21901617859667868,0.1128605061809155
2d,0.7709717279655165,1.0,0.8627890176072605,0.7315590703378874,0.6143543442281079,0.39739213052888045,0.3118915140732251,0.16964458193347745
3d,0.626294215066771,0.8627890176072605,1.0,0.8968874625569303,0.7831507458879112,0.49703535493643625,0.3827433469836099,0.21450791032633879
4d,0.5011331037579394,0.7315590703378874,0.8968874625569303,1.0,0.9150771158243748,0.5789055743464174,0.43957799335314957,0.250425816797465
5d,0.4152126444362575,0.6143543442281079,0.7831507458879112,0.9150771158243748,1.0,0.6513313426935803,0.48654194436149273,0.27949349971562776
10d,0.2713399948224333,0.39739213052888045,0.49703535493643625,0.5789055743464174,0.6513313426935803,1.0,0.6560784198556232,0.3987676963895172
21d,0.21901617859667868,0.3118915140732251,0.3827433469836099,0.43957799335314957,0.48654194436149273,0.6560784198556232,1.0,0.6167536863176002
50d,0.1128605061809155,0.16964458193347745,0.21450791032633879,0.250425816797465,0.27949349971562776,0.3987676963895172,0.6167536863176002,1.0
