,1d,2d,3d,4d,5d,10d,21d,50d
1d,1.0,0.7678651572198525,0.6345077919167701,0.5286036993807359,0.45375351913135104,0.3120481118407709,0.22825212173792153,0.12923094749215633
2d,0.7678651572198525,1.0,0.864246572751659,0.7479399491096783,0.6485121874006952,0.4393173810014862,0.32125485936369624,0.18536917786558849
3d,0.6345077919167701,0.864246572751659,1.0,0.9015830049494802,0.8029354389241649,0.53778742643833,0.3915157923445934,0.22891684045436542
4d,0.5286036993807359,0.7479399491096783,0.9015830049494802,1.0,0.9216795752004165,0.619034958384513,0.4506829454803194,0.2669577398051278
5d,0.45375351913135104,0.6485121874006952,0.8029354389241649,0.9216795752004165,1.0,0.6945992011390886,0.5026596960109476,0.29951546454784733
10d,0.3120481118407709,0.4393173810014862,0.53778742643833,0.619034958384513,0.6945992011390886,1.0,0.699326338462309,0.4237526685192104
21d,0.22825212173792153,0.32125485936369624,0.3915157923445934,0.4506829454803194,0.5026596960109476,0.699326338462309,1.0,0.6360182390022572
50d,0.12923094749215633,0.18536917786558849,0.22891684045436542,0.2669577398051278,0.29951546454784733,0.4237526685192104,0.6360182390022572,1.0
