,1d,2d,3d,4d,5d,10d,21d,50d
1d,1.0,0.5097333308861287,0.39391928639443347,0.32773463488976556,0.28432304574912287,0.19935540397818236,0.14134281585288658,0.07356027031033108
2d,0.5097333308861287,1.0,0.6187738522049416,0.5084948557293895,0.45411984360778707,0.28648032810402957,0.2117910176812017,0.12067434449709394
3d,0.39391928639443347,0.6187738522049416,1.0,0.6790003979931316,0.5777750490653433,0.34424193883056436,0.2473767636964155,0.13770311784866643
4d,0.32773463488976556,0.5084948557293895,0.6790003979931316,1.0,0.7092645202172829,0.4251542644137336,0.2988110340344462,0.1753653232214203
5d,0.28432304574912287,0.45411984360778707,0.5777750490653433,0.7092645202172829,1.0,0.4767571659172925,0.3327769862622178,0.19027811070359205
10d,0.19935540397818236,0.28648032810402957,0.34424193883056436,0.4251542644137336,0.4767571659172925,1.0,0.4871247952387448,0.29935683981268896
21d,0.14134281585288658,0.2117910176812017,0.2473767636964155,0.2988110340344462,0.3327769862622178,0.4871247952387448,1.0,0.42129216614876014
50d,0.07356027031033108,0.12067434449709394,0.13770311784866643,0.1753653232214203,0.19027811070359205,0.29935683981268896,0.42129216614876014,1.0
