,avg_correl
sgn_returns,0.35473505368891406
volumes_momentum,0.4750793029113113
cds_momentum,0.5018477478529081
momentum,0.5045752117315592
returns,0.5057258309487613
cds_returns,0.5227809573526905
stochastic_oscillator,0.7857320449304481
median_volumes,0.8213942201174719
driftless_volatility,0.8428811831789145
volatility,0.8532448088666355
sma,0.965647030157586
