,1d,2d,3d,4d,5d,10d,21d,50d
1d,1.0,0.7027913960993307,0.5646506167439411,0.48443693154433065,0.4365260720615286,0.3051766045846399,0.22410605664555927,0.136637519958609
2d,0.7027913960993307,1.0,0.8096132289884544,0.6918284816858258,0.6165253239397164,0.43417926946340457,0.31471063581680486,0.19287320405069167
3d,0.5646506167439411,0.8096132289884544,1.0,0.8579572216749097,0.7598172370277615,0.5320466581326918,0.3824266190057851,0.23282744357124371
4d,0.48443693154433065,0.6918284816858258,0.8579572216749097,1.0,0.8865925444316851,0.6143808936486511,0.43932647283252996,0.2685535037053932
5d,0.4365260720615286,0.6165253239397164,0.7598172370277615,0.8865925444316851,1.0,0.6859839492981841,0.4837779370614922,0.30109301163848756
10d,0.3051766045846399,0.43417926946340457,0.5320466581326918,0.6143808936486511,0.6859839492981841,1.0,0.6778739779957295,0.4381189427526272
21d,0.22410605664555927,0.31471063581680486,0.3824266190057851,0.43932647283252996,0.4837779370614922,0.6778739779957295,1.0,0.6532741741236452
50d,0.136637519958609,0.19287320405069167,0.23282744357124371,0.2685535037053932,0.30109301163848756,0.4381189427526272,0.6532741741236452,1.0
