Dates,san,bbva
26/01/2000,21370768,9120836
27/01/2000,47357696,13662149
28/01/2000,12366730,16119949
31/01/2000,46928010,9866400
01/02/2000,3395823,9218524
02/02/2000,10073636,7648495
03/02/2000,10756481,7766521
04/02/2000,13118252,10516996
07/02/2000,11768214,8135191
08/02/2000,11547108,13714579
09/02/2000,10305513,9070317
10/02/2000,8632295,8404912
11/02/2000,16414639,24338467
14/02/2000,25239742,59647725
15/02/2000,20123591,23093618
16/02/2000,31780801,19374604
17/02/2000,15864425,10019952
18/02/2000,17310296,13772567
21/02/2000,8423893,10726841
22/02/2000,10941679,14621024
23/02/2000,8876852,14342502
24/02/2000,10460206,17306092
25/02/2000,9386142,10362716
28/02/2000,9001685,7457926
29/02/2000,7077030,8498670
01/03/2000,8627628,9312181
02/03/2000,13335047,7597597
03/03/2000,15852507,7755278
06/03/2000,11661639,11463006
07/03/2000,9471007,9774793
08/03/2000,8691003,8594963
09/03/2000,13972761,9151128
10/03/2000,56577193,11147722
13/03/2000,14163684,9599012
14/03/2000,22157608,6665946
15/03/2000,31566486,5468468
16/03/2000,15588392,12189003
17/03/2000,23142843,9163642
20/03/2000,18944729,16836235
21/03/2000,10404631,7230428
22/03/2000,12220341,11605427
23/03/2000,9868764,5621310
24/03/2000,5235919,3848073
27/03/2000,5968284,4186225
28/03/2000,7406612,10406806
29/03/2000,4791300,9968362
30/03/2000,8006163,9376815
31/03/2000,24371008,18359689
03/04/2000,7399139,19424760
04/04/2000,19906447,14535624
05/04/2000,12087522,11364365
06/04/2000,20303861,10826421
07/04/2000,10439646,10040757
10/04/2000,8140414,10332365
11/04/2000,8453091,7834323
12/04/2000,7400882,12323321
13/04/2000,11043376,8297576
14/04/2000,10483234,9983855
17/04/2000,26098667,15947281
18/04/2000,8761028,7676466
19/04/2000,14823458,10201280
20/04/2000,21576069,6203544
21/04/2000,21576069,6203544
24/04/2000,21576069,6203544
25/04/2000,11170093,9512208
26/04/2000,7784766,7606416
27/04/2000,9137480,12146140
28/04/2000,23268575,9495164
01/05/2000,23268575,9495164
02/05/2000,7644629,5774356
03/05/2000,9368792,5706309
04/05/2000,9862333,10509453
05/05/2000,6851161,7124705
08/05/2000,7299137,7791894
09/05/2000,13241771,9758402
10/05/2000,14544168,9253181
11/05/2000,11044202,6564392
12/05/2000,6321761,5131953
15/05/2000,10626384,4599969
16/05/2000,8938999,7211593
17/05/2000,14766765,16425237
18/05/2000,13836566,10110084
19/05/2000,11817100,8766117
22/05/2000,7640449,7744106
23/05/2000,8162514,21755195
24/05/2000,7837704,24928513
25/05/2000,7891177,26905419
26/05/2000,5480885,16111335
29/05/2000,5970565,6952824
30/05/2000,8104306,11112992
31/05/2000,7748109,12910352
01/06/2000,9475746,12272210
02/06/2000,13365458,28725476
05/06/2000,7654608,8468061
06/06/2000,10309975,14311938
07/06/2000,9296417,7450914
08/06/2000,8129949,6917624
09/06/2000,8764130,7565220
12/06/2000,7223182,5286456
13/06/2000,7321871,9721716
14/06/2000,11539515,13022750
15/06/2000,12033658,8911842
16/06/2000,26166009,21951729
19/06/2000,7695569,6107817
20/06/2000,8485832,5481044
21/06/2000,10028171,6693073
22/06/2000,8092221,8578761
23/06/2000,5963522,5574969
26/06/2000,7066705,10936913
27/06/2000,5866310,5010697
28/06/2000,7529637,5381210
29/06/2000,20541563,13539710
30/06/2000,15549336,12254941
03/07/2000,7942681,5928907
04/07/2000,10866515,6093268
05/07/2000,28670203,12962164
06/07/2000,10374633,13565081
07/07/2000,7574055,12233693
10/07/2000,13576096,4982396
11/07/2000,17514586,6756765
12/07/2000,37406913,7657710
13/07/2000,35600990,7010053
14/07/2000,24613388,4756432
17/07/2000,16463065,6038476
18/07/2000,18732332,5617598
19/07/2000,9619685,8182484
20/07/2000,9979783,6213639
21/07/2000,4286566,3283639
24/07/2000,8146571,1080275
25/07/2000,12440459,6916637
26/07/2000,3529933,718694
27/07/2000,34159460,2345827
28/07/2000,8837881,2466007
31/07/2000,1088379,6424746
01/08/2000,9180199,6669347
02/08/2000,8990866,7806291
03/08/2000,11298758,6416754
04/08/2000,7466747,7047399
07/08/2000,12603252,12672844
08/08/2000,18485671,19397675
09/08/2000,820295,14661268
10/08/2000,7611090,13929421
11/08/2000,10719522,5782013
14/08/2000,9896515,7314310
15/08/2000,11396319,6233892
16/08/2000,20819891,12155861
17/08/2000,10665608,8344375
18/08/2000,25377434,12149013
21/08/2000,8288687,9240783
22/08/2000,11191137,4505779
23/08/2000,10321609,6081672
24/08/2000,8523543,5956527
25/08/2000,5679961,4090571
28/08/2000,4371842,3747549
29/08/2000,7589460,5142139
30/08/2000,9748574,8412611
31/08/2000,9648543,8512064
01/09/2000,11386636,6230155
04/09/2000,5707111,4903303
05/09/2000,9924969,7425199
06/09/2000,7776050,8253703
07/09/2000,9965121,7398025
08/09/2000,10047202,6594451
11/09/2000,10595914,12483166
12/09/2000,14027441,8464256
13/09/2000,10099870,7069409
14/09/2000,15574093,9996846
15/09/2000,40825523,29229783
18/09/2000,16121423,8407362
19/09/2000,11810138,11348149
20/09/2000,10938743,11191645
21/09/2000,13535780,9459852
22/09/2000,16290401,12723990
25/09/2000,13907848,10260191
26/09/2000,8455120,5073280
27/09/2000,8054198,5110573
28/09/2000,11598246,9771350
29/09/2000,10047895,7846689
02/10/2000,9622938,7837391
03/10/2000,8314463,6301188
04/10/2000,11665014,7140816
05/10/2000,13782766,10267519
06/10/2000,8041633,12337271
09/10/2000,9953431,8209956
10/10/2000,15325126,6374795
11/10/2000,20031350,12560687
12/10/2000,20031350,12560687
13/10/2000,28966774,15916571
16/10/2000,13736170,10889459
17/10/2000,13793983,9549282
18/10/2000,17912452,11022904
19/10/2000,13400787,9714716
20/10/2000,21378221,15498724
23/10/2000,7012728,8634831
24/10/2000,11055431,10715810
25/10/2000,10235797,11115685
26/10/2000,20524887,17610546
27/10/2000,27989932,21600229
30/10/2000,7598187,10876254
31/10/2000,18175170,13376602
01/11/2000,18175170,13376602
02/11/2000,16936454,12998417
03/11/2000,15806403,7612800
06/11/2000,10554417,8198657
07/11/2000,8425489,6238033
08/11/2000,9887270,8721707
09/11/2000,8816316,9852580
10/11/2000,15709586,9353485
13/11/2000,8573446,9918067
14/11/2000,11444430,11114243
15/11/2000,12602911,8737852
16/11/2000,8615938,6435741
17/11/2000,16332918,13734343
20/11/2000,48770632,11837868
21/11/2000,34294014,13408225
22/11/2000,24237949,20525705
23/11/2000,12775680,12316217
24/11/2000,13415397,10576906
27/11/2000,12266865,8638379
28/11/2000,13687279,7127362
29/11/2000,17808538,8609741
30/11/2000,20996192,13400960
01/12/2000,14930365,7456254
04/12/2000,18893365,8399988
05/12/2000,20993815,9791444
06/12/2000,20993815,9791444
07/12/2000,24417841,16035807
08/12/2000,24417841,16035807
11/12/2000,27017702,13498418
12/12/2000,21490430,14333295
13/12/2000,21958710,14881212
14/12/2000,11833304,9867615
15/12/2000,26874522,16974803
18/12/2000,13777850,11211351
19/12/2000,15296631,11133695
20/12/2000,12321509,8514606
21/12/2000,15128968,13089803
22/12/2000,14753688,20873818
25/12/2000,14753688,20873818
26/12/2000,14753688,20873818
27/12/2000,11749096,6048527
28/12/2000,8563160,5842398
29/12/2000,14344058,8638170
01/01/2001,14344058,8638170
02/01/2001,7770962,8170504
03/01/2001,13620880,10983753
04/01/2001,28910204,22650515
05/01/2001,22680614,15573468
08/01/2001,32755827,13829339
09/01/2001,17411555,14464413
10/01/2001,16380601,14209330
11/01/2001,16870713,9564330
12/01/2001,19298386,11107125
15/01/2001,2195252,13104720
16/01/2001,11131172,9260916
17/01/2001,21753201,21133568
18/01/2001,17653611,880785
19/01/2001,40413349,19417306
22/01/2001,13667922,9983271
23/01/2001,18976300,11371526
24/01/2001,17271421,12146975
25/01/2001,12434733,9552606
26/01/2001,11882484,9813729
29/01/2001,23469764,10463375
30/01/2001,22644412,1129921
31/01/2001,17494606,13201315
01/02/2001,15130065,12678297
02/02/2001,10212316,7391881
05/02/2001,7911348,6815596
06/02/2001,13658281,8255678
07/02/2001,11904830,6929835
08/02/2001,9170264,5289658
09/02/2001,10383847,8885643
12/02/2001,13487354,7062920
13/02/2001,9972288,7742170
14/02/2001,10259950,9014745
15/02/2001,13262739,7746475
16/02/2001,9501441,7745474
19/02/2001,6266291,6102613
20/02/2001,9935777,6389217
21/02/2001,13753262,10982405
22/02/2001,26104215,14470178
23/02/2001,21084865,13267453
26/02/2001,11682201,8717382
27/02/2001,24523356,18862328
28/02/2001,20363925,15904025
01/03/2001,872390,12549831
02/03/2001,9315588,7083127
05/03/2001,11421460,6982501
06/03/2001,10722539,9057660
07/03/2001,13998550,7218369
08/03/2001,8482305,8045510
09/03/2001,14261754,10374623
12/03/2001,14804832,10507572
13/03/2001,16451928,11922022
14/03/2001,21226327,25064799
15/03/2001,17480074,9794919
16/03/2001,24112490,15762131
19/03/2001,11671585,11708230
20/03/2001,13346207,13106339
21/03/2001,29384041,21305855
22/03/2001,29932809,26644882
23/03/2001,21345843,14923444
26/03/2001,18079539,14441795
27/03/2001,21096188,16762352
28/03/2001,21923368,17603482
29/03/2001,16256411,12035081
30/03/2001,13764210,10506318
02/04/2001,13593430,9473602
03/04/2001,22187990,15121095
04/04/2001,34706883,15685093
05/04/2001,26638968,25812142
06/04/2001,13654776,8375990
09/04/2001,11206774,9138289
10/04/2001,13325614,14541355
11/04/2001,13046291,8426395
12/04/2001,6207236,7384317
13/04/2001,6207236,7384317
16/04/2001,6207236,7384317
17/04/2001,11996717,7394982
18/04/2001,16290671,14217278
19/04/2001,19541810,11797085
20/04/2001,20720496,14614270
23/04/2001,22832096,14251959
24/04/2001,15990848,10759808
25/04/2001,15255528,9408334
26/04/2001,29085880,14993610
27/04/2001,24044249,11321403
30/04/2001,16273312,7000444
01/05/2001,16273312,7000444
02/05/2001,13780731,6523934
03/05/2001,12161548,7704042
04/05/2001,13464224,14895010
07/05/2001,6704593,7978175
08/05/2001,8086794,8352821
09/05/2001,16218524,9280790
10/05/2001,22161173,14205761
11/05/2001,13188782,9881874
14/05/2001,12717116,10315016
15/05/2001,6694610,5711471
16/05/2001,15268981,13167058
17/05/2001,19059779,14779334
18/05/2001,17558078,11028270
21/05/2001,8952404,7378742
22/05/2001,15889296,9092930
23/05/2001,10228804,7066723
24/05/2001,7574472,5008205
25/05/2001,13370323,8522813
28/05/2001,4620091,4905831
29/05/2001,7623906,5765450
30/05/2001,11443054,9494593
31/05/2001,13291986,9832774
01/06/2001,10349660,10064460
04/06/2001,10611490,4423448
05/06/2001,10136819,7759247
06/06/2001,6604379,6179479
07/06/2001,10187033,9832349
08/06/2001,9418871,9124041
11/06/2001,11262750,11396339
12/06/2001,19576215,9813071
13/06/2001,11235507,7376393
14/06/2001,7733196,6166649
15/06/2001,27365582,12275449
18/06/2001,25702676,12893052
19/06/2001,39658291,29515628
20/06/2001,20006575,9548669
21/06/2001,27498877,13237553
22/06/2001,21962467,11572254
25/06/2001,15727937,10165893
26/06/2001,18966068,17405463
27/06/2001,20417555,16727424
28/06/2001,32560364,28072846
29/06/2001,31183203,22566721
02/07/2001,25767859,14779355
03/07/2001,25275678,16567096
04/07/2001,23187450,17537027
05/07/2001,16699015,26094464
06/07/2001,45692051,25558895
09/07/2001,38298352,19800560
10/07/2001,32062276,11639473
11/07/2001,35522785,24046432
12/07/2001,39208504,24036872
13/07/2001,38145639,40065810
16/07/2001,13023618,11613499
17/07/2001,23124237,15455343
18/07/2001,23666409,21115249
19/07/2001,34149008,12514337
20/07/2001,34921311,13491214
23/07/2001,20312453,11093917
24/07/2001,22658464,8044264
25/07/2001,23887578,17351365
26/07/2001,21798497,13871799
27/07/2001,21068582,11011895
30/07/2001,17773854,13772148
31/07/2001,18402315,15318095
01/08/2001,13052499,16215262
02/08/2001,24363346,13395325
03/08/2001,10809047,5992361
