,0,0,0,0,0
paths,10^2,10^3,10^4,10^5,10^6
time,,,,,
1,0.05026741157938484,0.038203568773274806,0.03715150902977705,0.037013390517339546,0.037167832126701474
10,0.03617581111235799,0.010782463576013512,0.004588935597795356,0.0034834167297008323,0.0036667683940381757
20,0.04463390899195705,0.012965813154540588,0.004009475910507126,0.0018135993507544645,0.0017016425505506506
3,0.03917496429251473,0.01665991991317872,0.011556500855438367,0.01247509579114931,0.012340896343940757
5,0.036614488844820124,0.011794103357559624,0.00772383653635772,0.007469726559426562,0.007343669636091728
50,0.04318581587233238,0.01198996884653353,0.0037323900986794747,0.0012706961514846894,0.0008036658832331934
