,euler_maruyama_volatility_stock_100_0.05,euler_maruyama_volatility_stock_100_0.05_time,euler_maruyama_volatility_stock_100_0.1,euler_maruyama_volatility_stock_100_0.1_time,euler_maruyama_volatility_stock_100_0.15000000000000002,euler_maruyama_volatility_stock_100_0.15000000000000002_time,euler_maruyama_volatility_stock_100_0.2,euler_maruyama_volatility_stock_100_0.2_time,euler_maruyama_volatility_stock_100_0.25,euler_maruyama_volatility_stock_100_0.25_time,euler_maruyama_volatility_stock_100_0.3,euler_maruyama_volatility_stock_100_0.3_time,euler_maruyama_volatility_stock_100_0.35000000000000003,euler_maruyama_volatility_stock_100_0.35000000000000003_time,euler_maruyama_volatility_stock_100_0.4,euler_maruyama_volatility_stock_100_0.4_time,euler_maruyama_volatility_stock_100_0.45,euler_maruyama_volatility_stock_100_0.45_time,euler_maruyama_volatility_stock_100_0.5,euler_maruyama_volatility_stock_100_0.5_time
0,0.951229424500714,0.2313680648803711,0.951229424500714,0.20884919166564941,0.9497074574215129,0.21340203285217285,0.9371512290181034,0.20781588554382324,0.9089377642874122,0.2180800437927246,0.8691193005778124,0.21518683433532715,0.8256576281723748,0.20583510398864746,0.7825003491827773,0.20644307136535645,0.7464202171114653,0.20717191696166992,0.7108061874581585,0.20616507530212402
1,0.951229424500714,0.21249818801879883,0.9512199122064691,0.2209489345550537,0.9498691664236779,0.2068769931793213,0.9368087864252832,0.21593403816223145,0.9086428831658171,0.21549224853515625,0.8694236939936526,0.209122896194458,0.827331791959496,0.20633697509765625,0.7842315867353686,0.20872974395751953,0.7466009507021204,0.20717406272888184,0.710026179330068,0.20669174194335938
2,0.951229424500714,0.220595121383667,0.951229424500714,0.2077808380126953,0.9496979451272679,0.21436214447021484,0.9366756143058531,0.21346592903137207,0.9079294610974415,0.2716488838195801,0.8691953989317724,0.21048283576965332,0.82593348470548,0.21163296699523926,0.7851352546886443,0.20757770538330078,0.7446414180876489,0.20615887641906738,0.7109298472833436,0.20628595352172852
3,0.951229424500714,0.21672701835632324,0.951229424500714,0.2191760540008545,0.9499262401891481,0.2069389820098877,0.9369229339562233,0.25660276412963867,0.9080911700996066,0.26071810722351074,0.8688624686331973,0.20847320556640625,0.8266564190681005,0.20782804489135742,0.7850972055116643,0.2063148021697998,0.7471812006510659,0.20656800270080566,0.707533958237876,0.21211028099060059
4,0.951229424500714,0.2341451644897461,0.951229424500714,0.20629024505615234,0.9494696500653876,0.2059040069580078,0.9367707372483032,0.25183796882629395,0.9079294610974415,0.20905494689941406,0.8691668620490375,0.21129703521728516,0.8261237305903801,0.207564115524292,0.7864574635887003,0.20723199844360352,0.7460397253416651,0.20631814002990723,0.7108061874581585,0.20772695541381836
5,0.951229424500714,0.21626877784729004,0.951229424500714,0.21495509147644043,0.949793068069718,0.2071549892425537,0.9366375651288731,0.2135176658630371,0.9082528791017718,0.25348711013793945,0.8676163580871012,0.2144298553466797,0.827331791959496,0.2067723274230957,0.7850686686289293,0.2058887481689453,0.7464677785826903,0.20701384544372559,0.7070773681141158,0.20719122886657715
6,0.951229424500714,0.26506710052490234,0.951229424500714,0.2068920135498047,0.9495837975963277,0.2059459686279297,0.9370465937814084,0.27053117752075195,0.9075679939161312,0.22512412071228027,0.8689005178101772,0.20840215682983398,0.8248205462788142,0.20734024047851562,0.7856679431663647,0.2112870216369629,0.7453928893330045,0.20674586296081543,0.7106254538675033,0.20715761184692383
7,0.951229424500714,0.22394108772277832,0.951229424500714,0.20598220825195312,0.9496979451272679,0.21170306205749512,0.9365139053036879,0.21852922439575195,0.9095655757075828,0.2103590965270996,0.8682631940957618,0.20634722709655762,0.827170082957331,0.2081291675567627,0.7850496440404393,0.2067410945892334,0.74599216387044,0.20748400688171387,0.708646896664542,0.20713496208190918
8,0.951229424500714,0.219649076461792,0.9512199122064691,0.21088385581970215,0.949793068069718,0.20636415481567383,0.9371607413123485,0.25192809104919434,0.9083194651614869,0.24260783195495605,0.8701656529447632,0.20636415481567383,0.8277503329062763,0.20608210563659668,0.7842125621468787,0.20648908615112305,0.7472002252395559,0.20625996589660645,0.7110630194027737,0.20688199996948242
9,0.951229424500714,0.21077489852905273,0.951229424500714,0.20629501342773438,0.949688432833023,0.21259093284606934,0.9367992741310381,0.2854163646697998,0.9077106783298063,0.2682199478149414,0.8704319971836234,0.2067561149597168,0.8281878984415467,0.20723390579223633,0.7838320703770784,0.20600605010986328,0.747333397358986,0.21307110786437988,0.7076100565918362,0.20610427856445312
