,0,0,0,0,0
paths,10^2,10^3,10^4,10^5,10^6
time,,,,,
1,0.04226367942916259,0.011176389639287467,0.004417509447381312,0.0009505855224917759,0.0003791219994289996
10,0.0467266137258586,0.011233463404757515,0.003910899294951047,0.0012512471849882446,0.00036550477959983006
5,0.036469023938165535,0.010710843319878014,0.004370269911690854,0.0011527144556687774,0.00040706911992084206
