,60,100,140
0.05,5.551142878909567e-16,5.551142878909567e-16,5.551142878909567e-16
0.1,5.793870183990212e-06,5.551142878909567e-16,5.551142878909567e-16
0.15000000000000002,0.0002495500667239855,0.0002324211950614727,0.0002145519383514591
0.2,0.0010574930608787353,0.0010756610678416124,0.0008625107738581996
0.25,0.0018090583015430955,0.0020549019294388102,0.0029905008924117306
0.3,0.0036038922847008294,0.002876365024131041,0.0024381367851240734
0.35000000000000003,0.002152229069061174,0.002738859535102665,0.0027065741121491942
0.4,0.005066103562160371,0.0028376372382249407,0.00258916359968003
0.45,0.002530634509192723,0.0036976379852547343,0.00391665590816623
0.5,0.0035081107393744064,0.0035014636134324023,0.0048825257018973575
