,0
1,20.770124461329587
2,39.14357528810291
3,49.07521314664754
4,55.981832703068235
5,62.127739875630894
6,67.35619649795761
7,71.10423001406332
8,74.20474105361335
9,76.24680945205725
10,78.0944095642844
11,79.40642863684356
12,80.62285713451476
13,81.78491392685811
14,82.89751874088837
15,83.983916986429
16,85.03029789214386
17,86.00039690031073
18,86.92743332131751
19,87.82146688883276
20,88.62276506819943
21,89.365889360612
22,90.05740821980784
23,90.663616421265
24,91.23951171714707
25,91.79368753184268
26,92.31550529929811
27,92.81263031002676
28,93.28420699353497
29,93.72405397536419
30,94.13979318205907
31,94.53284738121938
32,94.91799461519444
33,95.27767125072457
34,95.62687819259197
35,95.96663502820924
36,96.29701355012766
37,96.62499133980668
38,96.92092346385681
39,97.17899328354453
40,97.43373542690836
41,97.66809859282468
42,97.89429602286788
43,98.07813975781642
44,98.25659934392289
45,98.41059571162592
46,98.52521184553018
47,98.6642210887493
48,98.80141062823499
49,98.93091879214325
50,99.05839633357752
51,99.15153858405019
52,99.24096241723251
53,99.32408183799946
54,99.39642378107398
55,99.466038002851
56,99.53232535340437
57,99.59336341267547
58,99.64467323284424
59,99.69238255148227
60,99.73505553041544
61,99.76715163944495
62,99.79378152147194
63,99.82342458497648
64,99.85202337521997
65,99.87250210920551
66,99.89431149644894
67,99.91093627111091
68,99.92618173757376
69,99.93959857720502
70,99.9523842262391
71,99.96225444859957
72,99.97284429781016
73,99.97931894792846
74,99.98503051477873
75,99.99091582183782
76,99.99262305302851
77,99.99666088862362
78,99.99892556919708
79,99.99945149001749
80,99.99959402217445
81,99.99961962250394
82,99.99994038273265
83,99.99999999999997
