,0
1,22.100258048118658
2,39.7508462875015
3,50.544135683373206
4,57.009324184087106
5,62.312263490562906
6,67.48682359968922
7,71.32186712870765
8,74.45529336866149
9,76.54174418775004
10,78.1629549502086
11,79.53820605108012
12,80.78984411735651
13,82.02981028475095
14,83.2282891489396
15,84.35404377790066
16,85.39689549694744
17,86.34706436785218
18,87.22386298030912
19,88.04624311278046
20,88.83481160518414
21,89.56942371042761
22,90.25698936237488
23,90.84651846765934
24,91.43168114298767
25,91.99954664234157
26,92.5328947676181
27,93.0194636705948
28,93.4546648702272
29,93.86967607434963
30,94.2800315913658
31,94.68214407683223
32,94.99522638251165
33,95.37263302085532
34,95.74490118917237
35,96.10236743665966
36,96.4639832746658
37,96.73446657158173
38,97.01357515417142
39,97.25305828333227
40,97.49479541120174
41,97.7066406972331
42,97.90170194796637
43,98.08699975620496
44,98.26141837455022
45,98.41557302200773
46,98.56597296497749
47,98.70002434154576
48,98.80307517998217
49,98.91510628663976
50,99.03442115625789
51,99.15014903261269
52,99.2396732420484
53,99.31270020677444
54,99.38098416119779
55,99.44817502933458
56,99.5113344673425
57,99.57198975936774
58,99.62528496361757
59,99.67459425747795
60,99.72130487853124
61,99.75421143934285
62,99.7847238551009
63,99.81174286708787
64,99.83226376844269
65,99.85709943425661
66,99.88041473761758
67,99.90448182996062
68,99.92219302177145
69,99.93682800137218
70,99.94951323013596
71,99.96054312586622
72,99.96732826706858
73,99.97747176307972
74,99.9862678682538
75,99.99147223518887
76,99.99496633779532
77,99.99692929881635
78,99.99752706609875
79,99.99760038947915
80,99.99778238254589
81,99.99817180439119
82,99.99997024925543
83,100.00000000000004
