,san_importance
san_volumes_momentum_1d,0.01824450514969057
san_volumes_momentum_4d,0.017161629386534538
san_rsi_14d,0.01707766367838912
san_volumes_momentum_21d,0.01686139629981452
san_volumes_momentum_2d,0.016848984252378307
san_volumes_momentum_50d,0.016490226540784247
san_cds_returns_1d,0.016280148474232068
san_cds_returns_2d,0.015926065716900972
san_cds_momentum_1d,0.015503584968731278
san_returns_2d,0.015376497520750433
san_returns_1d,0.015288118280033028
san_cds_momentum_2d,0.015269277687258595
san_returns_3d,0.015217012882889491
san_cds_returns_5d,0.014951939701177107
san_cds_returns_10d,0.014808046606191354
