,san_importance
san_volumes_momentum_1d,0.018000733519257118
san_volumes_momentum_50d,0.01789082056784283
san_rsi_14d,0.017429697427721394
san_volumes_momentum_4d,0.01715267016432543
san_volumes_momentum_10d,0.017130852698050543
san_cds_momentum_1d,0.017108209584694407
san_volumes_momentum_3d,0.01704822781032683
san_cds_returns_1d,0.016089107335135296
san_returns_1d,0.016088247346367088
san_returns_2d,0.016067980660079875
san_momentum_2d,0.015862964155877332
san_cds_momentum_2d,0.015543643286264973
san_cds_returns_5d,0.015516917482830933
san_momentum_10d,0.014638509593486445
san_cci_20d,0.014615874369064826
