,san_importance
san_rsi_14d,0.017726351383151626
san_volumes_momentum_50d,0.017306485171505695
san_volumes_momentum_1d,0.017040272875138863
san_volumes_momentum_4d,0.016956104854653927
san_volumes_momentum_3d,0.016605988023571085
san_volumes_momentum_5d,0.016376190636124527
san_cds_returns_1d,0.01610224530268678
san_returns_1d,0.016025465440892055
san_cds_momentum_1d,0.015988463984150034
san_cci_20d,0.015419666165496743
san_cds_returns_21d,0.015236785704063427
san_cds_returns_2d,0.01504476246664003
san_momentum_1d,0.014987566147445085
san_stochastic_oscillator_5d,0.014948337084257147
san_returns_3d,0.014890741385217787
