,san_importance
san_volumes_momentum_4d,0.018083757682115176
san_volumes_momentum_1d,0.017489061642553934
san_rsi_14d,0.017368011820110992
san_cds_returns_1d,0.0157378913997734
san_returns_1d,0.015528566836531038
san_cds_returns_5d,0.015446904591782773
san_stochastic_oscillator_14d,0.015383469440569697
san_momentum_3d,0.015192102493453338
san_cds_momentum_1d,0.014941784576861796
san_momentum_1d,0.014877055154159706
san_returns_2d,0.014836943714666437
san_cds_momentum_2d,0.014582249169987934
san_cci_20d,0.014479463903928241
san_stochastic_oscillator_5d,0.014399483465043723
san_ad_1d,0.013408590201152712
