,bbva_importance
bbva_volumes_momentum_1d,0.017854701499725602
bbva_volumes_momentum_5d,0.017354857080879357
bbva_volumes_momentum_3d,0.016982710210981414
bbva_returns_1d,0.016767918947141053
bbva_cds_returns_1d,0.01612579663574966
bbva_cds_returns_4d,0.015891318302975643
bbva_cds_returns_2d,0.015456413966293383
bbva_cds_momentum_1d,0.01539568285046672
bbva_momentum_1d,0.015313134727060737
bbva_returns_10d,0.015115501962786864
bbva_stochastic_oscillator_5d,0.014964540786431875
bbva_rsi_14d,0.014779430167552303
bbva_momentum_4d,0.01470626883264019
bbva_cds_momentum_3d,0.014693500716150387
bbva_returns_2d,0.014649151712243885
