,san_importance
san_volumes_momentum_2d,0.017606541981351555
san_volumes_momentum_1d,0.01742928939582551
san_rsi_14d,0.016552627389699176
san_cds_returns_1d,0.015996453281463718
san_cci_20d,0.015768885665239447
san_returns_1d,0.01569882372895681
san_returns_2d,0.015556615455307978
san_cds_returns_2d,0.015463337214632528
san_cds_momentum_1d,0.015324386072209976
san_momentum_1d,0.015221884105566802
san_cds_momentum_2d,0.015190793416998855
san_momentum_2d,0.014590134251036297
san_stochastic_oscillator_5d,0.014418102002485061
san_stochastic_oscillator_14d,0.014340181023698727
san_median_volumes_20d,0.013615833264574833
