,bbva_importance
bbva_volumes_momentum_1d,0.018213314303362593
bbva_volumes_momentum_3d,0.018010123431802676
bbva_returns_1d,0.01706609305228534
bbva_rsi_14d,0.01643837416196345
bbva_cds_returns_2d,0.015980832061029505
bbva_cds_returns_1d,0.015643007763369778
bbva_momentum_1d,0.015167552565455072
bbva_cds_momentum_1d,0.01508394135000811
bbva_returns_10d,0.014857023452244216
bbva_cci_20d,0.014685182216481076
bbva_cds_momentum_2d,0.014609548673937411
bbva_momentum_10d,0.014468203896235895
bbva_stochastic_oscillator_14d,0.013944435320104413
bbva_stochastic_oscillator_5d,0.013932638187097208
bbva_median_volumes_20d,0.013213290966955366
