,san_importance
san_volumes_momentum_4d,0.017695729436804072
san_volumes_momentum_2d,0.017490070973218388
san_volumes_momentum_1d,0.017045815730561714
san_rsi_14d,0.017036281249749975
san_cds_momentum_1d,0.016720271607761166
san_cds_returns_1d,0.016444935174754285
san_cds_returns_2d,0.01581425879385154
san_returns_1d,0.015322873477541382
san_returns_2d,0.015204605779668168
san_cds_returns_4d,0.015131927746788683
san_cci_20d,0.015128647042779364
san_momentum_1d,0.014976894328756806
san_returns_3d,0.014912796127794798
san_cds_momentum_2d,0.014763166835696935
san_stochastic_oscillator_5d,0.01467369359400114
