,san_importance
san_volumes_momentum_4d,0.018657913653780094
san_cds_momentum_1d,0.016722964511649868
san_rsi_14d,0.016103648300273058
san_returns_2d,0.016061558804904136
san_cds_returns_1d,0.016053681484689865
san_momentum_2d,0.015537641460621665
san_stochastic_oscillator_5d,0.013971957322543305
san_median_volumes_20d,0.013757254980382074
san_dvd_proxy_1d,0.013590937702506486
san_cci_20d,0.013195415265205603
san_macd_12_26d,0.013153051166023416
san_driftless_volatility_40d,0.013141084307300172
san_atr_14d,0.01286479523995591
san_ad_1d,0.012541406775134498
san_volatility_20d,0.012355955624053408
