,san_importance
san_volumes_momentum_1d,0.01727408766456649
san_rsi_14d,0.017051416661680207
san_cds_returns_2d,0.01632570776952785
san_returns_1d,0.015428428086272046
san_cds_momentum_1d,0.015319712034687512
san_stochastic_oscillator_14d,0.015284767379626266
san_cci_20d,0.014835824968623035
san_momentum_2d,0.014677400190925673
san_dvd_proxy_1d,0.014281206647969174
san_median_volumes_20d,0.013260899233379043
san_ad_1d,0.013257522614867958
san_volatility_20d,0.013047102522257851
san_driftless_volatility_20d,0.012902752178009244
san_macd_12_26d,0.012338306318611776
san_atr_14d,0.012066074791902907
