,bbva_importance
bbva_volumes_momentum_1d,0.018025540655569033
bbva_volumes_momentum_5d,0.017598452511079946
bbva_volumes_momentum_3d,0.01713873351963159
bbva_volumes_momentum_4d,0.016955772377304456
bbva_returns_1d,0.01674935012957227
bbva_volumes_momentum_2d,0.01672217521970317
bbva_cds_returns_1d,0.016026522925071982
bbva_cds_momentum_1d,0.015701586605735368
bbva_rsi_14d,0.015620790185357038
bbva_returns_10d,0.015442015814994678
bbva_cds_returns_2d,0.015420381658202595
bbva_returns_2d,0.015280313581265057
bbva_returns_3d,0.015074758052274663
bbva_momentum_1d,0.015000643384888615
bbva_cds_returns_3d,0.014637610699933518
