,bbva_importance
bbva_volumes_momentum_3d,0.017831863401047768
bbva_volumes_momentum_5d,0.017626602787747244
bbva_volumes_momentum_4d,0.017232809975163618
bbva_returns_1d,0.01720653861923419
bbva_volumes_momentum_1d,0.01707876175222078
bbva_volumes_momentum_2d,0.01703573208593702
bbva_returns_3d,0.01637482637586769
bbva_rsi_14d,0.016091056926713983
bbva_cds_returns_1d,0.016000487601471304
bbva_momentum_3d,0.015904742519993183
bbva_cds_returns_2d,0.01575375543914888
bbva_momentum_1d,0.01560497664153744
bbva_cci_20d,0.015397003080786493
bbva_returns_10d,0.015357322922678992
bbva_cds_returns_50d,0.01490757918185528
