,bbva_importance
bbva_volumes_momentum_1d,0.017335690226473913
bbva_volumes_momentum_3d,0.0172411690810129
bbva_returns_1d,0.016965715937672515
bbva_rsi_14d,0.01667624333887165
bbva_cds_returns_1d,0.01610699204442811
bbva_cds_returns_2d,0.016004896360479446
bbva_momentum_1d,0.015434340348170553
bbva_cds_momentum_1d,0.01536634779989435
bbva_momentum_50d,0.014811657474776368
bbva_cds_momentum_3d,0.014765353919329208
bbva_returns_10d,0.014608468605264857
bbva_cci_20d,0.014077358050609976
bbva_dvd_proxy_1d,0.013674229987251046
bbva_stochastic_oscillator_5d,0.013495813867200498
bbva_stochastic_oscillator_14d,0.013330253704826713
