,san_importance
san_volumes_momentum_4d,0.017398245456752934
san_volumes_momentum_2d,0.017239891759440747
san_rsi_14d,0.016703982041578212
san_returns_1d,0.016450175292507037
san_cds_returns_2d,0.015775974203470097
san_returns_2d,0.015759157586079556
san_cds_returns_1d,0.015755754724251468
san_cds_momentum_1d,0.015620489241350042
san_cci_20d,0.01561645901037133
san_cds_momentum_2d,0.015584195660413101
san_momentum_1d,0.015191979786131005
san_momentum_2d,0.015180395941960093
san_stochastic_oscillator_14d,0.015034477090928191
san_ad_1d,0.01366299104747917
san_median_volumes_20d,0.013636033204272664
