,bbva_importance
bbva_volumes_momentum_1d,0.018071512441023507
bbva_volumes_momentum_21d,0.016924190707460162
bbva_volumes_momentum_3d,0.016841131167996317
bbva_cds_returns_2d,0.01642276691173034
bbva_returns_1d,0.01611171966577752
bbva_cds_returns_1d,0.015972048221988194
bbva_rsi_14d,0.015694589280203414
bbva_cds_momentum_1d,0.01547311942115757
bbva_cds_returns_3d,0.015262656874360478
bbva_cds_momentum_2d,0.01502818952050589
bbva_momentum_1d,0.015005983825824229
bbva_returns_10d,0.014937861532186646
bbva_momentum_10d,0.014680371661834734
bbva_returns_2d,0.014376303677712317
bbva_momentum_3d,0.01436382338839311
