,san_importance
san_volumes_momentum_1d,0.018633232787175116
san_volumes_momentum_50d,0.01688053092145148
san_volumes_momentum_10d,0.01685408967848175
san_rsi_14d,0.016466128963007257
san_returns_3d,0.016194020589240233
san_cci_20d,0.01596231374065932
san_returns_1d,0.015926211566724774
san_cds_returns_5d,0.015743801006390324
san_returns_2d,0.015591432766116515
san_cds_returns_1d,0.015566849359316539
san_cds_returns_2d,0.015566142058839976
san_stochastic_oscillator_14d,0.015339307081426513
san_stochastic_oscillator_5d,0.015090371582566273
san_cds_momentum_2d,0.014863712407484492
san_cds_momentum_1d,0.01484007380198582
