,san_importance
san_volumes_momentum_10d,0.01690981903394848
san_volumes_momentum_4d,0.016753876227333802
san_volumes_momentum_1d,0.01673553906743752
san_cds_returns_2d,0.016631521339054246
san_cds_momentum_2d,0.016475966306269397
san_cds_returns_5d,0.016271047011713
san_cds_returns_1d,0.016052591684549065
san_rsi_14d,0.015966178861938324
san_cds_momentum_1d,0.01593035072205372
san_returns_1d,0.01547122235934547
san_cds_momentum_10d,0.015338742945620787
san_returns_3d,0.015165627468392172
san_returns_2d,0.015141897742161493
san_dvd_proxy_1d,0.01459780737292529
san_stochastic_oscillator_14d,0.01442700728839256
