,bbva_importance
bbva_volumes_momentum_1d,0.018350944515279466
bbva_volumes_momentum_3d,0.01787874587090659
bbva_volumes_momentum_4d,0.01725818676290978
bbva_volumes_momentum_50d,0.017068770448703936
bbva_volumes_momentum_5d,0.01702240614945392
bbva_returns_1d,0.016721993376562046
bbva_cds_returns_1d,0.016582465981950314
bbva_cds_returns_2d,0.01575349796413268
bbva_cds_returns_3d,0.015493498677009545
bbva_cds_momentum_3d,0.015300328303741725
bbva_returns_3d,0.01523104402600149
bbva_cci_20d,0.01482014526990573
bbva_momentum_10d,0.014763227433361613
bbva_stochastic_oscillator_5d,0.014661062652001813
bbva_cds_momentum_2d,0.014612998612874673
