,bbva_importance
bbva_volumes_momentum_1d,0.018161078770423653
bbva_volumes_momentum_3d,0.0179273357746518
bbva_volumes_momentum_4d,0.017437880885643527
bbva_returns_1d,0.01719164396583872
bbva_cds_returns_2d,0.016427991015063825
bbva_momentum_10d,0.01584972763479495
bbva_cds_returns_3d,0.015655538926074818
bbva_cds_momentum_1d,0.015354337821416616
bbva_returns_10d,0.015266863036236974
bbva_cds_returns_1d,0.015120447435449083
bbva_stochastic_oscillator_5d,0.015004314880305366
bbva_momentum_3d,0.014710619953320023
bbva_rsi_14d,0.014697481331807864
bbva_cds_momentum_2d,0.014575815058415119
bbva_returns_2d,0.014294103058125004
