,bbva_importance
bbva_volumes_momentum_3d,0.01843111918120553
bbva_returns_1d,0.016164730670055482
bbva_cds_returns_2d,0.015978545158442235
bbva_cds_momentum_1d,0.015646824201592996
bbva_rsi_14d,0.015074828517463246
bbva_dvd_proxy_1d,0.014683635740031446
bbva_cci_20d,0.014557807357409209
bbva_stochastic_oscillator_5d,0.01439744634044295
bbva_momentum_2d,0.014370736436032629
bbva_volatility_60d,0.012915392580944712
bbva_macd_12_26d,0.01286832662410836
bbva_median_volumes_20d,0.012658386734006164
bbva_atr_14d,0.012602321614462586
bbva_driftless_volatility_20d,0.01239005611676129
bbva_ad_1d,0.012001535623305937
