,san_importance
san_volumes_momentum_4d,0.017543840409711298
san_rsi_14d,0.01684757437043552
san_returns_1d,0.01641038919024463
san_cds_returns_1d,0.01638401927315624
san_cds_momentum_1d,0.015551926358666387
san_cci_20d,0.015192487326598508
san_momentum_1d,0.015100758588292277
san_stochastic_oscillator_5d,0.01409567468411307
san_median_volumes_20d,0.013848178856790029
san_dvd_proxy_1d,0.013512504897740791
san_ad_1d,0.01341805690578224
san_macd_12_26d,0.012967787810579412
san_volatility_20d,0.012840151499092184
san_driftless_volatility_20d,0.012739356210780118
san_atr_14d,0.012735952018758951
