,bbva_importance
bbva_volumes_momentum_1d,0.018222960258979334
bbva_volumes_momentum_3d,0.0181239767530188
bbva_returns_1d,0.017226552508340816
bbva_cds_returns_1d,0.01701265024371094
bbva_cds_momentum_2d,0.016575314677273464
bbva_momentum_1d,0.01572412228865702
bbva_momentum_3d,0.015560102811309755
bbva_rsi_14d,0.015424882705280597
bbva_returns_5d,0.0149681923420262
bbva_cds_returns_2d,0.014862957686165782
bbva_cds_momentum_1d,0.014155593351742298
bbva_stochastic_oscillator_14d,0.014137977057264375
bbva_cci_20d,0.013988924234245852
bbva_stochastic_oscillator_5d,0.013715964003523913
bbva_dvd_proxy_1d,0.013561275786495946
