,bbva_importance
bbva_volumes_momentum_1d,0.01847530779871527
bbva_returns_1d,0.01670644014550523
bbva_cds_returns_1d,0.016586633027301175
bbva_cds_momentum_3d,0.016200128445814768
bbva_cci_20d,0.015373202428479713
bbva_rsi_14d,0.015222661701991482
bbva_momentum_10d,0.014160254113569122
bbva_macd_12_26d,0.013654774545479503
bbva_dvd_proxy_1d,0.013588597774425637
bbva_stochastic_oscillator_14d,0.013539960102949628
bbva_median_volumes_20d,0.01285988705154945
bbva_volatility_200d,0.012451666412513017
bbva_ad_1d,0.012307563552506486
bbva_driftless_volatility_200d,0.012259518828563125
bbva_sma_5d,0.011682269702141743
